course_id,title,platform,subscribers
advanced-valuation-and-strategy,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",c,187
probabilistic-models-in-nlp,Natural Language Processing with Probabilistic Models,c,99
vital-signs,Vital Signs: Understanding What the Body Is Telling Us,c,965
research-methods,Understanding Research Methods,c,1313
ibm-customer-engagement-specialist,IBM Customer Engagement Specialist Professional Certificate,c,180
introduction-to-calculus,Introduction to Calculus,c,551
camino-excelencia-gestion-proyectos,Camino a la Excelencia en Gestión de Proyectos,c,1740
html,Introduction to HTML5,c,1251
wine,Wine Tasting: Sensory Techniques for Wine Analysis,c,104
excel-intermediate-1,Excel Skills for Business: Intermediate I,c,2194
duke-programming-web,"Programming Foundations with JavaScript, HTML and CSS",c,2225
build-a-computer,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),c,733
food-beverage-management,Food & Beverage Management,c,715
data-analysis-with-python,Data Analysis with Python,c,1734
project-planning-1,Project Planning,c,20
uva-darden-getting-started-agile,Agile Meets Design Thinking,c,641
aws-fundamentals-going-cloud-native,AWS Fundamentals: Going Cloud-Native,c,1803
construction-project-management,Construction Project Management,c,845
mathematical-thinking,Introduction to Mathematical Thinking,c,444
everyday-parenting,Everyday Parenting: The ABCs of Child Rearing,c,596
intro-to-healthcare,Introduction to Healthcare,c,6
machine-learning-with-python,Machine Learning with Python,c,1588
terrorism,Terrorism and Counterterrorism: Comparing Theory and Practice,c,598
clinical-data-management,Data Management for Clinical Research,c,273
sustainable-fashion,Sustainable Fashion,c,126
data-science-k-means-clustering-python,Foundations of Data Science: K-Means Clustering in Python,c,80
instructional-design-foundations-applications,Instructional Design Foundations and Applications,c,93
enlinea,Cursos en línea: modelo para armar,c,58
modern-art-ideas,Modern Art & Ideas,c,1191
speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone",c,2190
gcp-infrastructure-foundation,Essential Google Cloud Infrastructure: Foundation,c,1480
introduction-to-ai,Introduction to Artificial Intelligence (AI),c,1298
dog-emotion-and-cognition,Dog Emotion and Cognition,c,1048
organizational-behavior,International Leadership and Organizational Behavior,c,460
sdgbusiness,Driving business towards the Sustainable Development Goals,c,97
global-sustainable-development,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",c,657
bcg-uva-darden-digital-transformation,Digital Transformation,c,1052
nlp-sequence-models,Sequence Models,c,2876
entrepreneur-changement,Devenir entrepreneur du changement,c,177
photography,Seeing Through Photographs,c,933
wharton-entrepreneurship-opportunity,Entrepreneurship 1: Developing the Opportunity,c,688
search-engine-optimization,Introduction to Search Engine Optimization,c,1651
learn-speak-korean1,Learn to Speak Korean 1,c,1195
drug-development,Drug Development,c,313
r-programming,R Programming,c,4023
money-banking,Economics of Money and Banking,c,285
learn-chinese,Chinese for Beginners,c,3548
grammar-punctuation,Grammar and Punctuation,c,4515
japanese-1,Japanese for beginners 1,c,36
intro-common-law,Introduction to English Common Law,c,255
dental-medicine-penn,Introduction to Dental Medicine,c,211
fundamentals-of-reinforcement-learning,Fundamentals of Reinforcement Learning,c,377
principles-of-macroeconomics,The Power of Macroeconomics: Economic Principles in the Real World,c,504
corp-sustainability,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,c,90
duke-behavioral-finance,Behavioral Finance,c,611
